open,currentAccountsPayable,researchAndDevelopment,volume,propertyPlantEquipment,otherNonCurrentAssets,nonInterestIncome,dividendPayout,depreciationDepletionAndAmortization,ebitda,comprehensiveIncomeNetOfTax,depreciationAndAmortization,longTermDebtNoncurrent,totalRevenue,otherNonOperatingIncome,company,date,close
511.78,54600000,40200000,5947200,216100000.0,495000000,-1100000.0,150000000,36100000,231500000,311900000,6200000,5952000000.0,536500000.0,4000000,ISRG,6/29/2012,553.79
490.25,56100000,49700000,5824800,223400000.0,495000000,200000.0,150000000,23800000,216600000,368800000,5200000,5952000000.0,537800000.0,4300000,ISRG,9/28/2012,495.63
528.75,57600000,41700000,10531000,241800000.0,495000000,900000.0,150000000,24700000,254000000,-306000000,5900000,5952000000.0,609300000.0,3700000,ISRG,12/31/2012,490.37
553.0,67900000,41600000,15349200,249900000.0,495000000,-1400000.0,150000000,25800000,256800000,190400000,5600000,5952000000.0,611400000.0,4300000,ISRG,3/28/2013,491.19
499.36,67200000,41200000,4863500,267600000.0,495000000,100000.0,150000000,27000000,224200000,148900000,5700000,5952000000.0,578500000.0,4300000,ISRG,6/28/2013,506.132
388.19,62000000,43200000,10721600,294200000.0,495000000,2400000.0,150000000,25000000,179500000,159300000,5300000,5952000000.0,499000000.0,3900000,ISRG,9/30/2013,376.27
378.22,46200000,41700000,9620900,309900000.0,495000000,2100000.0,150000000,26300000,213300000,168000000,4700000,5952000000.0,576200000.0,5900000,ISRG,12/31/2013,384.08
442.3,57000000,43000000,7986600,320800000.0,495000000,-600000.0,150000000,17000000,61300000,46000000,4700000,5952000000.0,464700000.0,3900000,ISRG,3/31/2014,437.99
368.71,58900000,40200000,9700900,326700000.0,495000000,-600000.0,150000000,35500000,147700000,100800000,4700000,5952000000.0,512200000.0,-400000,ISRG,6/30/2014,411.8
472.55,53600000,47500000,6042991,335400000.0,495000000,-600000.0,150000000,25400000,165600000,124500000,6500000,5952000000.0,550100000.0,2000000,ISRG,9/30/2014,461.82
515.87,61600000,47300000,3965385,387400000.0,495000000,-600000.0,150000000,30400000,192600000,140300000,6500000,5952000000.0,604700000.0,-1300000,ISRG,12/31/2014,528.94
500.98,67900000,44400000,4850221,404700000.0,495000000,-600000.0,150000000,25600000,136600000,100900000,6200000,5952000000.0,532100000.0,4300000,ISRG,3/31/2015,505.03
491.36,64700000,49400000,5505342,408600000.0,495000000,-600000.0,150000000,27400000,180000000,129300000,6200000,5952000000.0,586100000.0,4600000,ISRG,6/30/2015,484.5
501.99,58000000,51000000,6267614,427300000.0,495000000,-600000.0,150000000,30400000,196100000,171000000,6200000,5952000000.0,589700000.0,3700000,ISRG,9/30/2015,459.27
521.03,52600000,52600000,6240494,432100000.0,495000000,-600000.0,150000000,28500000,251700000,183200000,5800000,5952000000.0,676500000.0,5900000,ISRG,12/31/2015,546.16
564.23,57900000,53200000,8232676,439000000.0,495000000,-600000.0,150000000,31700000,184100000,147200000,5100000,5952000000.0,594500000.0,5500000,ISRG,3/31/2016,601.05
632.25,64800000,54700000,6358021,440100000.0,495000000,-600000.0,150000000,31400000,250000000,192500000,4600000,5952000000.0,670100000.0,8000000,ISRG,6/30/2016,661.41
686.86,60600000,62600000,5275161,447300000.0,495000000,-600000.0,150000000,31200000,260700000,205700000,4300000,5952000000.0,682900000.0,10400000,ISRG,9/30/2016,724.83
642.46,68500000,69100000,7073988,458400000.0,495000000,-600000.0,150000000,30500000,273100000,193500000,4200000,5952000000.0,756900000.0,11700000,ISRG,12/30/2016,634.17
736.8,74000000,73500000,7683672,497400000.0,495000000,679600000.0,150000000,28800000,197100000,181700000,3700000,5952000000.0,679600000.0,8700000,ISRG,3/31/2017,766.47
915.09,74200000,84600000,7614455,540100000.0,495000000,758800000.0,150000000,29200000,263200000,221200000,3300000,5952000000.0,758800000.0,10100000,ISRG,6/30/2017,935.37
1001.9,80400000,83400000,4497075,584800000.0,495000000,807800000.0,150000000,30300000,283700000,299200000,3100000,5952000000.0,807400000.0,10800000,ISRG,9/29/2017,1045.88
398.6,82500000,87100000,17963900,613100000.0,495000000,892000000.0,150000000,27900000,331800000,-37800000,2800000,5952000000.0,893100000.0,12300000,ISRG,12/29/2017,364.94
428.44,96300000,95500000,14493706,661900000.0,495000000,847500000.0,150000000,31000000,279300000,285000000,2600000,5952000000.0,847500000.0,13200000,ISRG,3/29/2018,412.83
461.81,102200000,95100000,16961051,688800000.0,495000000,909300000.0,150000000,29200000,280500000,257000000,3100000,5952000000.0,909300000.0,18200000,ISRG,6/29/2018,478.48
